cdli_name,unicode_name
|AB~axKU6~a|,PROTO-CUNEIFORM SIGN AB-A TIMES KU6-A
|AB~ax(SZE~a&SZE~a)|,PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A
|AB~axSUKKAL|,PROTO-CUNEIFORM SIGN AB-A TIMES SUKKAL
|AB~axX|,PROTO-CUNEIFORM SIGN AB-A TIMES X
|AB~axZATU659|,PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659
AB~a@g,PROTO-CUNEIFORM SIGN AB-A GUNU
AB~b,PROTO-CUNEIFORM SIGN AB-B
|AB~bxA|,PROTO-CUNEIFORM SIGN AB-B TIMES A
|AB~bxKU6~a|,PROTO-CUNEIFORM SIGN AB-B TIMES KU6-A
|AB~bxSZA3~a1|,PROTO-CUNEIFORM SIGN AB-B TIMES SHA3-A1
AB2,PROTO-CUNEIFORM SIGN AB2
|AB2x2(N14)|,PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14
|AB2x2(N14)|,PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14 VARIANT 1
AB2,PROTO-CUNEIFORM SIGN AB2 VARIANT 1
ABGAL,PROTO-CUNEIFORM SIGN ABGAL
ABGAL,PROTO-CUNEIFORM SIGN ABGAL VARIANT 1
ABRIG,PROTO-CUNEIFORM SIGN ABRIG
ABZU,PROTO-CUNEIFORM SIGN ABZU
AD~a,PROTO-CUNEIFORM SIGN AD-A
AD~b,PROTO-CUNEIFORM SIGN AD-B
AD~c,PROTO-CUNEIFORM SIGN AD-C
ADAB,PROTO-CUNEIFORM SIGN ADAB
ADDA,PROTO-CUNEIFORM SIGN ADDA
ADDA@t-2,PROTO-CUNEIFORM SIGN ADDA TENU-2
AGAR2,PROTO-CUNEIFORM SIGN AGAR2
AK~a,PROTO-CUNEIFORM SIGN AK-A
AK~b,PROTO-CUNEIFORM SIGN AK-B
AL,PROTO-CUNEIFORM SIGN AL
ALAN~a,PROTO-CUNEIFORM SIGN ALAN-A
ALAN~b,PROTO-CUNEIFORM SIGN ALAN-B
ALAN~c,PROTO-CUNEIFORM SIGN ALAN-C
ALAN~d,PROTO-CUNEIFORM SIGN ALAN-D
ALAN~e,PROTO-CUNEIFORM SIGN ALAN-E
ALAN~f,PROTO-CUNEIFORM SIGN ALAN-F
ALIM,PROTO-CUNEIFORM SIGN ALIM
AM~a,PROTO-CUNEIFORM SIGN AM-A
AM~b,PROTO-CUNEIFORM SIGN AM-B
AMA~a,PROTO-CUNEIFORM SIGN AMA-A
AMA~a,PROTO-CUNEIFORM SIGN AMA-A VARIANT 1
|AMA~axE2~a|,PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A
AMA~b,PROTO-CUNEIFORM SIGN AMA-B
AMAR,PROTO-CUNEIFORM SIGN AMAR
|AMAR.1(N02)|,PROTO-CUNEIFORM SIGN AMAR BESIDE ONE-N2
AMAR,PROTO-CUNEIFORM SIGN AMAR VARIANT 1
AMAR,PROTO-CUNEIFORM SIGN AMAR VARIANT 2
|AMAR&AMAR|,PROTO-CUNEIFORM SIGN AMAR OVER AMAR
|AMARxTAR|,PROTO-CUNEIFORM SIGN AMAR TIMES TAR
AMAR@g,PROTO-CUNEIFORM SIGN AMAR GUNU
AN,PROTO-CUNEIFORM SIGN AN
AN,PROTO-CUNEIFORM SIGN AN VARIANT 1
AN,PROTO-CUNEIFORM SIGN AN VARIANT 2
ANSZE~a,PROTO-CUNEIFORM SIGN ANSHE-A
ANSZE~b,PROTO-CUNEIFORM SIGN ANSHE-B
ANSZE~c,PROTO-CUNEIFORM SIGN ANSHE-C
ANSZE~e,PROTO-CUNEIFORM SIGN ANSHE-E
ANZU2,PROTO-CUNEIFORM SIGN ANZU2
APIN~a,PROTO-CUNEIFORM SIGN APIN-A
|APIN~a.APIN~a|,PROTO-CUNEIFORM SIGN APIN-A BESIDE APIN-A
APIN~b,PROTO-CUNEIFORM SIGN APIN-B
APIN~c,PROTO-CUNEIFORM SIGN APIN-C
ARARMA2~a,PROTO-CUNEIFORM SIGN ARARMA2-A
ARARMA2~a,PROTO-CUNEIFORM SIGN ARARMA2-A VARIANT 1
ARARMA2~b,PROTO-CUNEIFORM SIGN ARARMA2-B
ARATTA,PROTO-CUNEIFORM SIGN ARATTA
ASAL2,PROTO-CUNEIFORM SIGN ASAL2
ASAR,PROTO-CUNEIFORM SIGN ASAR
ASZ2,PROTO-CUNEIFORM SIGN ASH2
AZ,PROTO-CUNEIFORM SIGN AZ
AZU,PROTO-CUNEIFORM SIGN AZU
BA,PROTO-CUNEIFORM SIGN BA
BAD,PROTO-CUNEIFORM SIGN BAD
|BAD&BAD|,PROTO-CUNEIFORM SIGN BAD OVER BAD
BAD3~a,PROTO-CUNEIFORM SIGN BAD3-A
BAD3~b1,PROTO-CUNEIFORM SIGN BAD3-B1
BAD3~b2,PROTO-CUNEIFORM SIGN BAD3-B2
BAHAR2~a,PROTO-CUNEIFORM SIGN BAHAR2-A
BAHAR2~a,PROTO-CUNEIFORM SIGN BAHAR2-A VARIANT 1
BAHAR2~b,PROTO-CUNEIFORM SIGN BAHAR2-B
BAHAR2~b,PROTO-CUNEIFORM SIGN BAHAR2-B VARIANT 1
BAHAR2~c,PROTO-CUNEIFORM SIGN BAHAR2-C
BALA~a,PROTO-CUNEIFORM SIGN BALA-A
BALA~b,PROTO-CUNEIFORM SIGN BALA-B
BALA~b,PROTO-CUNEIFORM SIGN BALA-B VARIANT 1
BALAG,PROTO-CUNEIFORM SIGN BALAG
BALAG,PROTO-CUNEIFORM SIGN BALAG VARIANT 1
BAN~a,PROTO-CUNEIFORM SIGN BAN-A
BAN~a,PROTO-CUNEIFORM SIGN BAN-A VARIANT 1
BAN~a,PROTO-CUNEIFORM SIGN BAN-A VARIANT 2
BAN~b,PROTO-CUNEIFORM SIGN BAN-B
BANSZUR~a,PROTO-CUNEIFORM SIGN BANSHUR-A
BANSZUR~a@t,PROTO-CUNEIFORM SIGN BANSHUR-A TENU
BANSZUR~b1,PROTO-CUNEIFORM SIGN BANSHUR-B1
BANSZUR~b2,PROTO-CUNEIFORM SIGN BANSHUR-B2
BANSZUR~c,PROTO-CUNEIFORM SIGN BANSHUR-C
BAPPIR~a,PROTO-CUNEIFORM SIGN BAPPIR-A
BAPPIR~b,PROTO-CUNEIFORM SIGN BAPPIR-B
BAPPIR~c,PROTO-CUNEIFORM SIGN BAPPIR-C
BAPPIR~d,PROTO-CUNEIFORM SIGN BAPPIR-D
BAPPIR~e,PROTO-CUNEIFORM SIGN BAPPIR-E
BAPPIR~f,PROTO-CUNEIFORM SIGN BAPPIR-F
BAR,PROTO-CUNEIFORM SIGN BAR
BARA2~a,PROTO-CUNEIFORM SIGN BARA2-A
BARA2~a,PROTO-CUNEIFORM SIGN BARA2-A VARIANT 1
BARA2~b,PROTO-CUNEIFORM SIGN BARA2-B
BARA2~b,PROTO-CUNEIFORM SIGN BARA2-B VARIANT 1
BARA3,PROTO-CUNEIFORM SIGN BARA3
BIR~a,PROTO-CUNEIFORM SIGN BIR-A
BIR~b,PROTO-CUNEIFORM SIGN BIR-B
BIR~c,PROTO-CUNEIFORM SIGN BIR-C
BIR3~a,PROTO-CUNEIFORM SIGN BIR3-A
BIR3~a,PROTO-CUNEIFORM SIGN BIR3-A VARIANT 1
BIR3~b,PROTO-CUNEIFORM SIGN BIR3-B
BIR3~b,PROTO-CUNEIFORM SIGN BIR3-B VARIANT 1
BIR3~c,PROTO-CUNEIFORM SIGN BIR3-C
BU~a,PROTO-CUNEIFORM SIGN BU-A
|BU~ax1(N58)|,PROTO-CUNEIFORM SIGN BU-A TIMES ONE-N58
|BU~axA|,PROTO-CUNEIFORM SIGN BU-A TIMES A
BU~a,PROTO-CUNEIFORM SIGN BU-A VARIANT 1
|(BU~a&BU~a).NA2~a|,PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A
|(BU~a&BU~a).NA2~a|,PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A VARIANT 1
|(BU~a&BU~a).NA2~a@n|,PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A NUTILLU
|(BU~a&BU~a).NA2~b|,PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-B
|(BU~a&BU~a).X|,PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE X
|BU~a+DU6~a|,PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A
|BU~a+DU6~a|,PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A VARIANT 1
|BU~axGISZ@t|,PROTO-CUNEIFORM SIGN BU-A TIMES GISH TENU
BU~b,PROTO-CUNEIFORM SIGN BU-B
|BU~b.NA2~a|,PROTO-CUNEIFORM SIGN BU-B BESIDE NA2-A
BU3,PROTO-CUNEIFORM SIGN BU3
BULUG,PROTO-CUNEIFORM SIGN BULUG
BULUG3,PROTO-CUNEIFORM SIGN BULUG3
BUR~a,PROTO-CUNEIFORM SIGN BUR-A
BUR~b,PROTO-CUNEIFORM SIGN BUR-B
BUR~c,PROTO-CUNEIFORM SIGN BUR-C
BUR~d,PROTO-CUNEIFORM SIGN BUR-D
BUR2,PROTO-CUNEIFORM SIGN BUR2
DA~a,PROTO-CUNEIFORM SIGN DA-A
|DA~a.LISZ|,PROTO-CUNEIFORM SIGN DA-A BESIDE LISH
DA~b,PROTO-CUNEIFORM SIGN DA-B
DA~c,PROTO-CUNEIFORM SIGN DA-C
DA~d,PROTO-CUNEIFORM SIGN DA-D
DAG,PROTO-CUNEIFORM SIGN DAG
DAH,PROTO-CUNEIFORM SIGN DAH
DAM,PROTO-CUNEIFORM SIGN DAM
DANNA,PROTO-CUNEIFORM SIGN DANNA
DAR~a,PROTO-CUNEIFORM SIGN DAR-A
|DAR~axA|,PROTO-CUNEIFORM SIGN DAR-A TIMES A
DAR~b,PROTO-CUNEIFORM SIGN DAR-B
DAR~c,PROTO-CUNEIFORM SIGN DAR-C
DAR~d,PROTO-CUNEIFORM SIGN DAR-D
DARA3~a,PROTO-CUNEIFORM SIGN DARA3-A
DARA3~b,PROTO-CUNEIFORM SIGN DARA3-B
DARA3~c,PROTO-CUNEIFORM SIGN DARA3-C
DARA3~c,PROTO-CUNEIFORM SIGN DARA3-C VARIANT 1
|DARA3~cxKAR2|,PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2
|DARA3~cx(KAR2.SZE~a)|,PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2 BESIDE SHE-A
DARA3~d,PROTO-CUNEIFORM SIGN DARA3-D
|DARA3~dxKAR2|,PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2
|DARA3~dxKAR2|,PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2 VARIANT 1
|DARA3~dxKAR2|,PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2 VARIANT 2
|DARA3~dx(KAR2.SZE~a)|,PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2 BESIDE SHE-A
DARA4~a1,PROTO-CUNEIFORM SIGN DARA4-A1
DARA4~a2,PROTO-CUNEIFORM SIGN DARA4-A2
DARA4~a3,PROTO-CUNEIFORM SIGN DARA4-A3
DARA4~b,PROTO-CUNEIFORM SIGN DARA4-B
DARA4~c1,PROTO-CUNEIFORM SIGN DARA4-C1
DARA4~c2,PROTO-CUNEIFORM SIGN DARA4-C2
DARA4~c3,PROTO-CUNEIFORM SIGN DARA4-C3
DARA4~c4,PROTO-CUNEIFORM SIGN DARA4-C4
DARA4~c5,PROTO-CUNEIFORM SIGN DARA4-C5
DI,PROTO-CUNEIFORM SIGN DI
DI@t,PROTO-CUNEIFORM SIGN DI TENU
DIB,PROTO-CUNEIFORM SIGN DIB
DIB,PROTO-CUNEIFORM SIGN DIB VARIANT 1
DILMUN,PROTO-CUNEIFORM SIGN DILMUN
DILMUN,PROTO-CUNEIFORM SIGN DILMUN VARIANT 1
DILMUN,PROTO-CUNEIFORM SIGN DILMUN VARIANT 2
DIM~a,PROTO-CUNEIFORM SIGN DIM-A
|DIM~axGU|,PROTO-CUNEIFORM SIGN DIM-A TIMES GU
|DIM~axX|,PROTO-CUNEIFORM SIGN DIM-A TIMES X
DIM~b,PROTO-CUNEIFORM SIGN DIM-B
DIM~c,PROTO-CUNEIFORM SIGN DIM-C
DIN,PROTO-CUNEIFORM SIGN DIN
DIN@t,PROTO-CUNEIFORM SIGN DIN TENU
DU,PROTO-CUNEIFORM SIGN DU
|DUxDISZ|,PROTO-CUNEIFORM SIGN DU TIMES DISH
DU@g,PROTO-CUNEIFORM SIGN DU GUNU
DU6~a,PROTO-CUNEIFORM SIGN DU6-A
DU6~a,PROTO-CUNEIFORM SIGN DU6-A VARIANT 1
|DU6~axDISZ|,PROTO-CUNEIFORM SIGN DU6-A TIMES DISH
DU6~b,PROTO-CUNEIFORM SIGN DU6-B
DU6~c,PROTO-CUNEIFORM SIGN DU6-C
DU7,PROTO-CUNEIFORM SIGN DU7
DU8~a,PROTO-CUNEIFORM SIGN DU8-A
DU8~b,PROTO-CUNEIFORM SIGN DU8-B
DU8~b,PROTO-CUNEIFORM SIGN DU8-B VARIANT 1
DU8~c,PROTO-CUNEIFORM SIGN DU8-C
|DU8~cxHI|,PROTO-CUNEIFORM SIGN DU8-C TIMES HI
|DU8~cxUDU~a|,PROTO-CUNEIFORM SIGN DU8-C TIMES UDU-A
|DU8~cxX|,PROTO-CUNEIFORM SIGN DU8-C TIMES X
DU8~c@g,PROTO-CUNEIFORM SIGN DU8-C GUNU
DU8~c@g,PROTO-CUNEIFORM SIGN DU8-C GUNU VARIANT 1
DUB~a,PROTO-CUNEIFORM SIGN DUB-A
DUB~b,PROTO-CUNEIFORM SIGN DUB-B
DUB~b,PROTO-CUNEIFORM SIGN DUB-B VARIANT 1
DUB~b,PROTO-CUNEIFORM SIGN DUB-B VARIANT 2
DUB~b,PROTO-CUNEIFORM SIGN DUB-B VARIANT 3
DUB~b,PROTO-CUNEIFORM SIGN DUB-B VARIANT 4
DUB~c,PROTO-CUNEIFORM SIGN DUB-C
DUB~d,PROTO-CUNEIFORM SIGN DUB-D
|(DUBxDISZ)~a|,PROTO-CUNEIFORM SIGN DUB TIMES DISH FORM A
|(DUBxDISZ)~b|,PROTO-CUNEIFORM SIGN DUB TIMES DISH FORM B
|(DUBxDISZ)~c|,PROTO-CUNEIFORM SIGN DUB TIMES DISH FORM C
DUB~e,PROTO-CUNEIFORM SIGN DUB-E
DUB~f,PROTO-CUNEIFORM SIGN DUB-F
DUB2,PROTO-CUNEIFORM SIGN DUB2
DUG~a,PROTO-CUNEIFORM SIGN DUG-A
|DUG~ax1(N57)|,PROTO-CUNEIFORM SIGN DUG-A TIMES ONE-N57
DUG~a,PROTO-CUNEIFORM SIGN DUG-A VARIANT 1
DUG~a,PROTO-CUNEIFORM SIGN DUG-A VARIANT 2
|DUG~axHI|,PROTO-CUNEIFORM SIGN DUG-A TIMES HI
|DUG~axKASKAL|,PROTO-CUNEIFORM SIGN DUG-A TIMES KASKAL
|DUG~axLAM~b|,PROTO-CUNEIFORM SIGN DUG-A TIMES LAM-B
|DUG~axNAGA~a|,PROTO-CUNEIFORM SIGN DUG-A TIMES NAGA-A
|DUG~axU2~a|,PROTO-CUNEIFORM SIGN DUG-A TIMES U2-A
|DUG~axU2~b|,PROTO-CUNEIFORM SIGN DUG-A TIMES U2-B
|DUG~axX|,PROTO-CUNEIFORM SIGN DUG-A TIMES X
DUG~b,PROTO-CUNEIFORM SIGN DUG-B
|DUG~bx1(N57)|,PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57
|DUG~bx1(N57)|,PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES AB2
|DUG~bx(1(N57).KU3~a)|,PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57 BESIDE KU3-A
|DUG~bx3(N57)|,PROTO-CUNEIFORM SIGN DUG-B TIMES THREE-N57
DUG~b,PROTO-CUNEIFORM SIGN DUG-B VARIANT 1
|DUG~bxAB2|,PROTO-CUNEIFORM SIGN DUG-B TIMES AB2
|DUG~bxANSZE~b|,PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-B
|DUG~bxANSZE~d|,PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-D
|DUG~bxBALA~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES BALA-A
|DUG~bxBIR3~c|,PROTO-CUNEIFORM SIGN DUG-B TIMES BIR3-C
|DUG~bxDIN|,PROTO-CUNEIFORM SIGN DUG-B TIMES DIN
|DUG~bxDIN|,PROTO-CUNEIFORM SIGN DUG-B TIMES DIN VARIANT 1
|(DUG~bxDIN)@r|,PROTO-CUNEIFORM SIGN DUG-B TIMES DIN REVERSED
|(DUG~b&DUG~b)x1(N58)|,PROTO-CUNEIFORM SIGN DUG-B OVER DUG-B TIMES ONE-N58
|DUG~bxE~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES E-A
|DUG~bxGA~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES GA-A
|DUG~bxGA~b|,PROTO-CUNEIFORM SIGN DUG-B TIMES GA-B
|DUG~bxGESZTU~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-A
|DUG~bxGESZTU~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-A VARIANT 1
|DUG~bxGESZTU~b|,PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-B
|DUG~bxGI6|,PROTO-CUNEIFORM SIGN DUG-B TIMES GI6
|DUG~bxGISZ|,PROTO-CUNEIFORM SIGN DUG-B TIMES GISH
|DUG~bxHI|,PROTO-CUNEIFORM SIGN DUG-B TIMES HI
|DUG~bxHI|,PROTO-CUNEIFORM SIGN DUG-B TIMES HI VARIANT 1
|DUG~bxHI@g~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES HI GUNU-A
|DUG~bxKASKAL|,PROTO-CUNEIFORM SIGN DUG-B TIMES KASKAL
|DUG~bxKU6~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES KU6-A
|DUG~bxKUR~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A
|DUG~bx(KUR~a.X)|,PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A BESIDE X
|DUG~bxKUR~b|,PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-B
|DUG~bxKUR@g~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES KUR GUNU-A
|DUG~bxLAM~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES LAM-A
|DUG~bxMASZ|,PROTO-CUNEIFORM SIGN DUG-B TIMES MASH
|DUG~bxMASZ|,PROTO-CUNEIFORM SIGN DUG-B TIMES MASH VARIANT 1
|DUG~bxNAGA~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES NAGA-A
|DUG~bxNAM2|,PROTO-CUNEIFORM SIGN DUG-B TIMES NAM2
|DUG~bx(NI~a@g.ZATU779)|,PROTO-CUNEIFORM SIGN DUG-B TIMES NI-A GUNU BESIDE ZATU779
|DUG~bxSA~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A
|DUG~bxSZAH2~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES SHAH2-A
|DUG~bxSZE~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A
|DUG~bxSZE~a|,PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A FORM 1
|DUG~bxSZE~a|,PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A FORM 2
|DUG~bx(SZE~a.NAM2)|,PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A BESIDE NAM2
|DUG~bxSI4~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A
|DUG~bx(SI4~a.X)|,PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A BESIDE X
|DUG~bxSIG2~a1|,PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A1
|DUG~bxSIG2~a2|,PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A2
|DUG~bxSIG7|,PROTO-CUNEIFORM SIGN DUG-B TIMES SIG7
|DUG~bxSUHUR|,PROTO-CUNEIFORM SIGN DUG-B TIMES SUHUR
|DUG~bxTAK4~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A
|DUG~bx(TAK4~a.SA~a)|,PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A BESIDE SA-A
|DUG~bx(TAK4~a.SAL)|,PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A BESIDE SAL
|DUG~bxTI|,PROTO-CUNEIFORM SIGN DUG-B TIMES TI
|DUG~bxU2~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES U2-A
|DUG~bxU2~b|,PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES U2-B
|DUG~bxU2~b|,PROTO-CUNEIFORM SIGN DUG-B VARIANT 2 TIMES U2-B
|DUG~bxUH3~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A
|DUG~bxUH3~a@t|,PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A TENU
|DUG~bxX|,PROTO-CUNEIFORM SIGN DUG-B TIMES X
|DUG~bxX|,PROTO-CUNEIFORM SIGN DUG-B TIMES X VARIANT 1
|DUG~bxZATU707~a|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU707-A
|DUG~bxZATU764|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU764
|DUG~bxZATU779|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU779
|DUG~bxZATU780|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU780
|DUG~bxZATU781|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU781
|DUG~bx(ZATU789.SA~a)|,PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU789 BESIDE SA-A
DUG~c,PROTO-CUNEIFORM SIGN DUG-C
|DUG~cx1(N57)|,PROTO-CUNEIFORM SIGN DUG-C TIMES ONE-N57
|DUG~cx1(N57)|,PROTO-CUNEIFORM SIGN DUG-C VARIANT 1 TIMES ONE-N57
|DUG~cx1(N57)|,PROTO-CUNEIFORM SIGN DUG-C VARIANT 2 TIMES ONE-N57
DUG~c,PROTO-CUNEIFORM SIGN DUG-C VARIANT 1
DUG~c@t,PROTO-CUNEIFORM SIGN DUG-C TENU
DUG~d,PROTO-CUNEIFORM SIGN DUG-D
DUGUD,PROTO-CUNEIFORM SIGN DUGUD
DUR~a,PROTO-CUNEIFORM SIGN DUR-A
DUR~b,PROTO-CUNEIFORM SIGN DUR-B
DUR2,PROTO-CUNEIFORM SIGN DUR2
E~a,PROTO-CUNEIFORM SIGN E-A
E~b,PROTO-CUNEIFORM SIGN E-B
E~c,PROTO-CUNEIFORM SIGN E-C
E~d,PROTO-CUNEIFORM SIGN E-D
E~e,PROTO-CUNEIFORM SIGN E-E
E2~a,PROTO-CUNEIFORM SIGN E2-A
|E2~ax1(N58@t)|,PROTO-CUNEIFORM SIGN E2-A TIMES ONE-N58 TENU
|E2~ax3(N58)|,PROTO-CUNEIFORM SIGN E2-A TIMES THREE-N58
|E2~a.LISZ|,PROTO-CUNEIFORM SIGN E2-A BESIDE LISH
E2~b,PROTO-CUNEIFORM SIGN E2-B
|E2~bx1(N57)@t|,PROTO-CUNEIFORM SIGN E2-B TIMES ONE-N57 TENU
|E2~b.LISZ|,PROTO-CUNEIFORM SIGN E2-B BESIDE LISH
E2~c,PROTO-CUNEIFORM SIGN E2-C
E2~d,PROTO-CUNEIFORM SIGN E2-D
E3~a,PROTO-CUNEIFORM SIGN E3-A
E3~b,PROTO-CUNEIFORM SIGN E3-B
EDIN,PROTO-CUNEIFORM SIGN EDIN
EN~a,PROTO-CUNEIFORM SIGN EN-A
EN~a,PROTO-CUNEIFORM SIGN EN-A VARIANT 1
EN~a,PROTO-CUNEIFORM SIGN EN-A VARIANT 2
EN~a,PROTO-CUNEIFORM SIGN EN-A VARIANT 3
EN~b,PROTO-CUNEIFORM SIGN EN-B
EN~b,PROTO-CUNEIFORM SIGN EN-B VARIANT 1
EN~b@t,PROTO-CUNEIFORM SIGN EN-B TENU
EN~c,PROTO-CUNEIFORM SIGN EN-C
EN~c,PROTO-CUNEIFORM SIGN EN-C VARIANT 1
|EN~c&EN~c|,PROTO-CUNEIFORM SIGN EN-C OVER EN-C
EN~e,PROTO-CUNEIFORM SIGN EN-E
EN@g~a,PROTO-CUNEIFORM SIGN EN GUNU-A
EN@g~b,PROTO-CUNEIFORM SIGN EN GUNU-B
EN2,PROTO-CUNEIFORM SIGN EN2
|EN2.E2~a|,PROTO-CUNEIFORM SIGN EN2 BESIDE E2-A
|EN2.E2~b|,PROTO-CUNEIFORM SIGN EN2 BESIDE E2-B
ENDIB,PROTO-CUNEIFORM SIGN ENDIB
ENGIZ,PROTO-CUNEIFORM SIGN ENGIZ
ENKUM,PROTO-CUNEIFORM SIGN ENKUM
ENKUM,PROTO-CUNEIFORM SIGN ENKUM VARIANT 1
ENLIL,PROTO-CUNEIFORM SIGN ENLIL
ENSI,PROTO-CUNEIFORM SIGN ENSI
ENSI2,PROTO-CUNEIFORM SIGN ENSI2
ERIM~a,PROTO-CUNEIFORM SIGN ERIM-A
ERIM~b1,PROTO-CUNEIFORM SIGN ERIM-B1
ERIM~b2,PROTO-CUNEIFORM SIGN ERIM-B2
ERIM2,PROTO-CUNEIFORM SIGN ERIM2
ERIN,PROTO-CUNEIFORM SIGN ERIN
ESZDA,PROTO-CUNEIFORM SIGN ESHDA
|ESZDAxTAR|,PROTO-CUNEIFORM SIGN ESHDA TIMES TAR
ESZGAR,PROTO-CUNEIFORM SIGN ESHGAR
EZEN~a,PROTO-CUNEIFORM SIGN EZEN-A
EZEN~a,PROTO-CUNEIFORM SIGN EZEN-A VARIANT 1
|EZEN~axEN~a|,PROTO-CUNEIFORM SIGN EZEN-A TIMES EN-A
|EZEN~axEN~b|,PROTO-CUNEIFORM SIGN EZEN-A TIMES EN-B
|EZEN~ax(HI.1(N57).AN)|,PROTO-CUNEIFORM SIGN EZEN-A TIMES HI BESIDE ONE-N57 BESIDE AN
|EZEN~axKAB|,PROTO-CUNEIFORM SIGN EZEN-A TIMES KAB
|EZEN~axKI|,PROTO-CUNEIFORM SIGN EZEN-A TIMES KI
|EZEN~axLA~e|,PROTO-CUNEIFORM SIGN EZEN-A TIMES LA-E
|EZEN~axLA~e|,PROTO-CUNEIFORM SIGN EZEN-A TIMES LA-E VARIANT 1
|EZEN~axNIM~b2|,PROTO-CUNEIFORM SIGN EZEN-A TIMES NIM-B2
|EZEN~axNIMGIR|,PROTO-CUNEIFORM SIGN EZEN-A TIMES NIMGIR
|EZEN~axRAD~a|,PROTO-CUNEIFORM SIGN EZEN-A TIMES RAD-A
|EZEN~axSAG|,PROTO-CUNEIFORM SIGN EZEN-A TIMES SAG
|EZEN~axSU~a|,PROTO-CUNEIFORM SIGN EZEN-A TIMES SU-A
|EZEN~ax(U2~b.A)|,PROTO-CUNEIFORM SIGN EZEN-A TIMES U2-B BESIDE A
|EZEN~axU4|,PROTO-CUNEIFORM SIGN EZEN-A TIMES U4
|EZEN~axX|,PROTO-CUNEIFORM SIGN EZEN-A TIMES X
EZEN~b,PROTO-CUNEIFORM SIGN EZEN-B
|EZEN~bx6(N57)|,PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57
|EZEN~bx6(N57)|,PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57 VARIANT 1
EZEN~b@t,PROTO-CUNEIFORM SIGN EZEN-B TENU
EZEN~c,PROTO-CUNEIFORM SIGN EZEN-C
